,name,method
354,public void visit int  int  String  String  String  String[] ,"public void visit(int, int, String, String, String, String[])"
355,public Method Visitor visit Method int  String  String  String  String[] ,"public MethodVisitor visitMethod(int, String, String, String, String[])"
356,public boolean is Instrumented  ,public boolean isInstrumented()
357,private boolean is Static Method int ,private boolean isStaticMethod(int)
358,protected Bi Procedure create Concrete Instance  ,protected BiProcedure createConcreteInstance()
359,public Annotation Visitor visit Array String ,public AnnotationVisitor visitArray(String)
360,public void visit End  ,public void visitEnd()
361,public static Errors Manager get Instance  ,public static ErrorsManager getInstance()
362,public void set Last Error As String Throwable ,public void setLastErrorAsString(Throwable)
363,public void clear  ,public void clear()
364,public String get Last Error As String  ,public String getLastErrorAsString()
365,public void set Last Error As String Exception ,public void setLastErrorAsString(Exception)
366,private void collect Lines Hashes  ,private void collectLinesHashes()
367,protected void add Instruction Hash Abstract Insn Node  List ,"protected void addInstructionHash(AbstractInsnNode, List)"
368,public void collect  ,public void collect()
369,protected void repair Frames  ,protected void repairFrames()
370,public void reslove Probes  ,public void resloveProbes()
371,protected void classify Probes And Collect Insn Hashes  ,protected void classifyProbesAndCollectInsnHashes()
372,public void run  ,public void run()
373,protected void init Ping Schedular  ,protected void initPingSchedular()
374,public Map get Config Properties  ,public Map getConfigProperties()
375,public String get Name  ,public String getName()
376,public void init Agent Descriptor Creator  S LAgent Configuration ,"public void init(AgentDescriptorCreator, SLAgentConfiguration)"
377,protected void stop Ping  ,protected void stopPing()
378,public void on Configuration Changed S LAgent Configuration ,public void onConfigurationChanged(SLAgentConfiguration)
379,public void stop  ,public void stop()
380,public Agent Start Info$Tool Info get Tool Info  ,public AgentStartInfo$ToolInfo getToolInfo()
381,public void send Anonymous Execution Event boolean  Execution Descriptor ,"public void sendAnonymousExecutionEvent(boolean, ExecutionDescriptor)"
382,protected static String escape Method Brackets String ,protected static String escapeMethodBrackets(String)
383,public static List escape Methods Brackets List ,public static List escapeMethodsBrackets(List)
384,protected static String escape Char String  char ,"protected static String escapeChar(String, char)"
385,protected static String escape Nested Class Name String ,protected static String escapeNestedClassName(String)
386,public static List escape Nested Classes Names List ,public static List escapeNestedClassesNames(List)
387,public String to String  ,public String toString()
388,public String get MD5  ,public String getMD5()
389,public void merge Hashes Line Signature ,public void mergeHashes(LineSignature)
390,public List get Values  ,public List getValues()
391,private void normalize Or Add String ,private void normalizeOrAdd(String)
392,private String resolve Common Root String  String ,"private String resolveCommonRoot(String, String)"
393,private boolean is Windows Drive Root List ,private boolean isWindowsDriveRoot(List)
394,public void add String ,public void add(String)
395,public String create Unique Id String  int ,"public String createUniqueId(String, int)"
396,private void escape Rules Brackets  ,private void escapeRulesBrackets()
397,private void prepare Normalized Input  ,private void prepareNormalizedInput()
398,Aggregated Group Rules convert  ,AggregatedGroupRules convert()
